date,product,category,units_sold,price_per_unit,marketing_spend
2024-01-05,Laptop,Electronics,3,999.99,500
2024-01-07,Headphones,Electronics,12,79.99,150
2024-01-10,Desk Chair,Furniture,5,249.99,200
2024-01-12,Notebook,Stationery,45,4.99,50
2024-01-15,Monitor,Electronics,7,349.99,300
2024-01-18,Pen Set,Stationery,60,9.99,50
2024-01-20,Standing Desk,Furniture,2,599.99,400
2024-01-22,Keyboard,Electronics,15,129.99,200
2024-01-25,Bookshelf,Furniture,4,189.99,150
2024-01-28,Sticky Notes,Stationery,80,3.99,50
2024-02-01,Laptop,Electronics,5,999.99,600
2024-02-03,Headphones,Electronics,20,79.99,200
2024-02-06,Desk Chair,Furniture,8,249.99,250
2024-02-10,Notebook,Stationery,55,4.99,60
2024-02-14,Monitor,Electronics,10,349.99,350
2024-02-18,Pen Set,Stationery,70,9.99,60
2024-02-20,Standing Desk,Furniture,3,599.99,450
2024-02-22,Keyboard,Electronics,18,129.99,220
2024-02-25,Bookshelf,Furniture,6,189.99,180
2024-02-28,Sticky Notes,Stationery,95,3.99,55